Age,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
15,0.6,0,0,0,0,0.265,0,0.1,0,0,0.15,0.1,0.6,0.51,0.02,0.02,0.04,0,0.1,0.12,0.12,0.94,0,0.38,0.38,1.09,0.33,0.57
16,1.0,0,0,0,1.06,1.233,0,0.27,0.21,0.3,0.7,0.68,0.64,0.85,0.25,0.25,0.59,0.03,0.25,1.36,1.36,1.24,1.45,2.03,2.03,3.14,2.27,2.22
17,5.1,0,0,0,1.23,4.605,0,1.19,1.18,1,2.69,0.76,0.59,2.4,1.07,1.07,2.41,1.11,1.84,2.64,2.64,4.82,5.46,6.19,6.19,6.69,6.74,5.87
18,14.5,0,0,0,5.46,12.986,0,3.54,3.75,3.7,6.98,2.16,4.51,7.27,3.07,3.07,6.37,6.2,5.11,6.95,6.95,7.69,10.39,13.71,13.71,12.29,12.33,13.01
19,36.4,0,0,0,13.99,36.091,0,9.52,9.22,9.3,21.14,10.46,8.82,20.84,9.83,9.83,14.87,11.98,17.43,16.74,16.74,14.65,15.63,16.42,16.42,18.68,18.82,19.52
20,90.4,0,0,0,42.73,87.073,0,30.97,33.4,30.3,55.95,24.41,30.66,56.42,29.01,29.01,44.94,39.41,40.96,41.55,41.55,29.15,31.09,32.95,32.95,27.57,30.21,38.85
21,149.4,0,0,0,91.16,140.186,0,88.01,75.39,77.4,97.43,72.32,79.31,102.05,48.17,48.17,90.89,82.12,84.03,74.48,74.48,56.13,49.5,53.75,53.75,42.7,39.84,58.56
22,231.2,0,0,0,152.44,169.408,0,135.75,143.07,126.5,125.31,158.86,124.64,138.4,64.95,64.95,115.42,107.66,105.04,95.46,95.46,69.97,77.95,64.1,64.1,57.26,61.54,65.58
23,217.9,0,0,0,180.13,182.372,0,169.89,162.01,170.2,142.72,147.94,153.78,153.35,84.17,84.17,125.68,118.26,120.22,115.39,115.39,85.67,101.09,85.63,85.63,69.37,76.81,84.62
24,247.5,0,0,0,205.13,175.334,0,185.6,183.07,175.7,145.69,115.37,169.19,157.39,96.45,96.45,130.65,135.82,131.83,113.31,113.31,87.61,95.98,98.26,98.26,75.67,91.16,104.16
25,211.3,0,0,0,174.86,144.894,0,190.38,177.3,172.4,129,144.64,137.33,145.19,96.52,96.52,122.92,119.66,113.81,115.13,115.13,81.94,102.49,96.02,96.02,77.51,92.8,109.5
26,166.4,0,0,0,169.88,109.532,0,140.47,152.59,140.8,105.86,112.89,129.85,122.37,92.42,92.42,115.79,111.67,108.42,103.15,103.15,85.15,110.29,95.89,95.89,78.87,94.23,110.36
27,150.2,0,0,0,111.76,84.924,0,119.02,107.41,121.2,84.35,94.05,107.26,104.29,83.1,83.1,99.54,112.26,100.87,96.54,96.54,73.8,94.51,100.57,100.57,76.12,84.96,114.47
28,156.5,0,0,0,85.01,64.408,0,80.11,97.14,91.1,67.35,73.86,91.03,84.42,69.48,69.48,86.15,94.94,96.55,86.1,86.1,73.3,95.68,96.39,96.39,71.77,86.22,110.77
29,102.1,0,0,0,71.14,50.813,0,80.97,69.23,78.3,53.91,40.06,76.24,69.04,55,55,73.84,79.44,86.92,81.76,81.76,71.75,80,78.72,78.72,65.8,81.94,102.96
30,86.5,0,0,0,48.94,39.538,0,53.09,67.14,58.2,44.7,50.08,61.66,58.57,45.34,45.34,64.77,68.49,72.33,64.46,64.46,51.84,70.65,61.5,61.5,57.6,64.51,95.97
31,69.9,0,0,0,49.39,30.022,0,42.35,43.36,57.5,36.62,39.68,49.37,48,35.43,35.43,60.03,66.32,59.99,57.36,57.36,49.51,61.11,61.94,61.94,51.25,58.16,84.54
32,52.5,0,0,0,44.06,22.898,0,38.63,40.02,39.8,28.17,31.76,49.16,37.25,27.09,27.09,48.16,54.76,54.63,53.32,53.32,36.42,48.79,49.84,49.84,44.63,54.07,72.47
33,52.5,0,0,0,23.95,17.25,0,21.11,24.31,24.6,18.59,23.71,30.56,29.21,21.28,21.28,37.45,42.67,47.86,41.45,41.45,35.1,38.93,45.3,45.3,39.2,46.56,74.01
34,37.0,0,0,0,20.19,12.856,0,19.96,15.21,18.8,13.27,9.22,23.37,21.5,17.5,17.5,29.9,36.14,37.93,37.51,37.51,31.23,31.87,34.33,34.33,33.62,38.54,66.22
35,30.8,0,0,0,10.2,9.574,0,15.13,13.22,13.3,9.65,10.89,17.16,16.61,12.46,12.46,26.06,29.26,29.66,29.42,29.42,16.77,22.94,29.6,29.6,27.93,34.35,50.28
36,27.6,0,0,0,10.89,6.751,0,7.72,12.05,11.3,6.69,7.72,12.27,10.58,8.98,8.98,18.7,24.97,26.31,22.01,22.01,14.8,23.52,23,23,23.1,28.53,50.04
37,18.5,0,0,0,9.95,5.416,0,8.17,5.7,9.9,5.15,5.45,9.38,7.43,6.36,6.36,15.17,20.99,19.73,21.32,21.32,14.06,16.83,16.87,16.87,18.02,24.65,34.96
38,15.0,0,0,0,6.28,4.478,0,4.49,6.72,4.8,4.28,5.32,6.21,5.77,4.51,4.51,11.69,15.03,19.91,15.36,15.36,11.54,14.68,14.12,14.12,13.68,20.87,28.27
39,11.5,0,0,0,4.12,3.466,0,2.01,3.1,6,3.28,1.83,4.09,3.26,3.37,3.37,9.04,13.27,15.21,13.19,13.19,6.68,9.89,12.53,12.53,10.88,16.96,24.73
40,11.2,0,0,0,3.93,2.568,0,2.23,4.01,2.8,2.44,3.28,3.84,2.63,2.7,2.7,5.88,9.63,12.29,10.55,10.55,5.2,11.11,7.81,7.81,8.29,10.76,17.06
41,6.8,0,0,0,3.95,1.816,0,0.92,1.74,1.7,1.7,1.46,2.08,2.51,1.76,1.76,5.52,7.59,10.89,9.58,9.58,4.98,5.79,5.19,5.19,6.26,10.48,12.32
42,5.2,0,0,0,3.28,1.304,0,1.12,0.9,1.8,1.4,0.56,1.57,1.37,1.23,1.23,3.53,6.26,8.6,6.07,6.07,2.36,5.14,3.86,3.86,5.06,9.21,7.69
43,3.4,0,0,0,2.72,1.006,0,0.85,1.6,0.8,1.14,0.89,0.87,0.9,0.9,0.9,2.86,5.99,10.12,6.23,6.23,2.3,2.96,4.25,4.25,4.13,6.89,6.3
44,2.7,0,0,0,2.11,0.998,0,0.94,0.48,0.3,0.93,0.6,1.04,0.74,0.64,0.64,4.52,4.62,7.63,5.1,5.1,2.02,2.43,2.52,2.52,3.58,8.48,3.31
45,3.1,0,0,0,0.75,0.845,0,0.6,0.84,0.6,0.81,0.24,0.73,0.52,0.76,0.76,3.28,4.69,7.52,6.07,6.07,1.37,1.5,2.89,2.89,3.31,6.82,2.56
46,0.9,0,0,0,0.81,0.669,0,0.32,1.1,0.6,0.75,0.42,0.14,0.68,0.9,0.9,2.26,5.34,7.45,4.99,4.99,0.87,2.23,1.89,1.89,3.02,6.34,2.3
47,0.9,0,0,0,1.4,0.634,0,0.6,0.63,0.2,0.66,0.84,0.44,0.69,0.5,0.5,1.84,6.5,5.66,5.07,5.07,1.33,1.93,1.75,1.75,3.06,5.38,1.99
48,1.3,0,0,0,1.83,0.496,0,0.52,0.93,0.1,0.6,0.61,0.29,0.43,0.52,0.52,1.96,4,5.94,7.17,7.17,1.44,0.46,0.96,0.96,3.06,5.62,1.99
49,1.8,0,0,0,1.21,0.435,0,1.19,0.39,0.2,0.53,0.61,0.22,0.47,0.74,0.74,2.2,5.48,5.33,6.62,6.62,1.2,1.76,1.37,1.37,3.08,6.4,2.26
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
