,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,-227564.3398,-213036.073,-220058.9792,-232443.275,-207777.6563,-173934.2942,-150732.4113,-124014.2201,-98882.82282,-167364.1393,-216562.6443,-292045.3796,-347703.3436,-406825.4452,-423386.9398,-436147.2222,-429507.1576,-444784.4066,-459171.3718,-419271.4777,-390156.0822,-353374.705,-363467.4851,-321367.55600000004,-340394.6233,-319731.4628,-346399.3714,-411893.56799999997,-347957.3163,-353275.2684,-355851.3974,-363075.3843,-366410.5869,-357313.9907,-359185.3255,-360367.337,-361270.5249,-360909.553,-359809.3462,-360308.4173,-360533.0357
1,-228652.3946,-235891.9672,-211458.6735,-215698.72600000002,-188969.5577,-151071.5262,-132086.1827,-105703.9517,-79610.30863,-144402.6639,-180475.3779,-258446.0986,-285700.2998,-343063.6777,-336819.0622,-427402.3738,-404008.7574,-398316.5149,-406859.7831,-394212.3711,-443120.1265,-382403.8081,-315377.1234,-329805.1323,-322555.403,-362856.527,-345574.3401,-355533.4951,-343264.9795,-345956.9489,-350637.2581,-348193.4043,-348717.2172,-347353.9616,-348171.758,-348614.7198,-348210.2122,-348213.5738,-348112.8451,-348264.6218,-348283.1945
2,-236969.831,-265012.6464,-271269.89,-245310.0141,-208647.71600000001,-177782.2729,-135403.3956,-118455.6113,-88702.98199,-151293.3402,-219968.1627,-264650.6943,-330475.9648,-379569.6872,-377747.8455,-413547.3965,-433403.2296,-429756.9462,-440258.7205,-415835.3952,-441971.7125,-428944.0152,-381564.1037,-320901.8457,-369634.2204,-379524.9491,-402615.30100000004,-374778.3981,-369490.9429,-379208.7623,-381123.6707,-381443.415,-377209.0378,-377695.1657,-379336.0103,-379361.4599,-379009.0177,-378522.1383,-378784.7584,-379002.6769,-378936.0102
3,-238084.777,-261385.0799,-298389.2139,-301603.48,-236100.8757,-190693.9982,-154110.7309,-118787.0189,-96541.70651,-160372.9508,-226933.0595,-305914.4757,-338210.1784,-409888.2375,-402508.8046,-428944.7383,-411418.2516,-440450.2455,-444392.4335,-429406.1856,-431597.7815,-437246.963,-407306.7651,-379115.643,-356672.9119,-419961.7523,-410666.469,-430202.5485,-399323.8649,-403365.5093,-412704.0288,-411252.4841,-411369.6871,-407603.1148,-409258.9648,-410437.6559,-409984.3813,-409730.7608,-409402.9755,-409762.9477,-409863.7442
4,-209825.1638,-281559.2456,-285550.0767,-330266.0685,-304113.626,-216280.2307,-164332.9845,-133730.4876,-99908.21941,-176097.54100000003,-239021.2274,-313321.346,-379674.8756,-408991.0559,-428733.7793,-463077.6249,-428185.276,-418139.9733,-459207.9534,-429232.646,-430727.1603,-421639.9183,-421093.2592,-388073.7191,-394386.1386,-389722.5795,-442017.6605,-425581.43200000003,-407956.3059,-411932.8233,-415442.1602,-420586.0764,-416299.7596,-414443.4251,-415740.8489,-416502.454,-416714.5128,-415940.2001,-415868.2882,-416153.2608,-416235.7432
5,-195826.44199999998,-257924.4261,-307771.3655,-313663.8244,-297597.4344,-271592.4022,-185615.5245,-145201.7088,-110866.3733,-177337.1926,-265856.8763,-334554.374,-387590.1578,-472536.2623,-425678.4425,-478991.4795,-455318.6349,-451392.2261,-426065.0867,-449814.43299999996,-416919.4771,-409060.6404,-378346.271,-359364.044,-371306.6473,-354027.11,-348504.6238,-385336.7718,-363707.8394,-364576.5985,-363230.5887,-365071.2844,-368384.6166,-364994.1855,-365251.4547,-365386.426,-365817.5934,-365966.8552,-365483.303,-365581.1265,-365647.0608
6,-186749.5644,-226811.9236,-281855.4712,-335590.6453,-290692.4927,-271629.7515,-236333.9649,-158781.8873,-118773.0458,-195585.7582,-258581.198,-362850.7653,-413353.6253,-469287.8462,-474245.5679,-466796.0387,-481791.0531,-473738.0241,-457817.8552,-406707.2165,-418966.501,-389614.2627,-381032.7185,-341913.6022,-367961.7935,-365693.8013,-367025.1553,-362786.8932,-361076.2491,-364908.7785,-364298.1755,-364019.0503,-363417.8293,-363544.0165,-364037.57,-363863.3283,-363776.3589,-363727.8206,-363789.8189,-363838.9793,-363799.2612
7,-197925.5726,-220335.71600000001,-250098.7277,-307105.9381,-311536.9012,-260957.9698,-229297.9816,-203521.9096,-128761.3969,-210037.1926,-281261.6692,-353404.3221,-444678.4839,-494965.8021,-480833.638,-519776.8594,-463180.3517,-493170.6975,-483059.1113,-427358.4192,-380045.2563,-393796.9507,-362729.45,-346351.5481,-343990.3412,-362304.124,-377921.25899999996,-363313.3495,-358776.1244,-361261.0396,-364715.1793,-365197.3904,-362652.6166,-362520.4701,-363269.3392,-363670.9991,-363462.1631,-363115.1176,-363207.6178,-363345.0474,-363360.189
8,-215750.3516,-216886.1896,-252168.3199,-273865.8738,-271051.3582,-283402.8303,-221659.6623,-198204.3245,-163680.4747,-229212.7049,-294408.0642,-388742.6073,-442065.9234,-540907.687,-505721.9029,-526257.1819,-526456.7363,-479137.9626,-501496.2027,-452521.6495,-386774.8548,-352344.6401,-363319.8781,-330626.9742,-348840.3792,-346218.2086,-368845.9141,-373491.5049,-353604.5962,-358200.1206,-360072.0689,-362842.8409,-361642.2263,-359272.3706,-360405.9255,-360847.0864,-361002.0899,-360633.9397,-360432.2824,-360664.2648,-360715.9326
9,-177248.1508,-237950.5555,-242195.9513,-273794.7213,-247189.5087,-245102.7224,-240593.9647,-189904.0712,-160085.4096,-289006.3525,-315287.8082,-406969.9489,-481409.5319,-532183.3694,-539362.4347,-544504.9091,-528752.6359,-525534.8025,-487485.4765,-450230.9278,-403241.7475,-367951.6847,-324528.7576,-332462.4209,-327656.305,-339935.5652,-353653.9575,-366852.3058,-344112.1109,-346442.0489,-350199.1977,-352251.9242,-351971.5175,-348995.3598,-349972.0096,-350678.0018,-350773.7626,-350478.1303,-350179.4528,-350416.2714,-350505.1238
10,-188395.8076,-223929.8999,-274358.9481,-272573.2705,-237248.61399999997,-226131.3391,-210171.63,-204696.9001,-155211.6872,-279524.6926,-411497.6908,-463283.63200000004,-516148.826,-601885.0978,-560240.5699,-610405.7232,-562564.9755,-543333.2839,-548613.2141,-460157.3883,-409058.3031,-379219.971,-333001.3996,-304738.9561,-342345.78799999994,-349904.4074,-367963.9841,-385453.7621,-350081.3795,-359149.8642,-362510.6795,-365031.9339,-364445.5238,-360243.8762,-362276.3755,-362901.6778,-362979.8774,-362569.4661,-362194.2546,-362584.3303,-362645.9212
11,-189238.8918,-194631.1806,-246526.7647,-294808.4187,-237526.2926,-205152.1829,-183808.5164,-176045.20899999997,-163748.4227,-267787.0902,-394661.5446,-554806.7852,-549361.9708,-589912.3642,-593244.5733,-581227.5333,-604586.8955,-570759.2873,-534639.0694,-495975.945,-394380.7062,-389583.0486,-355260.5357,-304026.6931,-303573.3576,-340745.3549,-356840.2855,-373111.2864,-335659.3955,-341985.936,-349668.4517,-351453.071,-350375.6281,-345828.4965,-347862.3167,-349037.5928,-348911.421,-348403.091,-348008.5836,-348444.601,-348561.0579
12,-184873.8444,-219846.1058,-226367.40300000002,-280850.675,-268589.2744,-213851.5222,-179050.9347,-160913.4405,-147576.8066,-299470.7992,-385846.1987,-532714.9896,-684361.5059,-644795.1276,-629272.0871,-646434.8813,-596272.956,-610193.0485,-581609.7547,-501078.0069,-435807.5197,-371260.3782,-358478.3683,-323586.529,-316339.5496,-310683.7939,-353284.1158,-355094.7816,-331797.754,-333439.999,-336860.0889,-342095.3479,-339857.5943,-336810.1568,-337812.6374,-338687.1651,-339052.5803,-338444.0268,-338161.3133,-338431.5446,-338555.326
13,-189799.4616,-211311.3098,-241521.4175,-252437.1203,-235415.9351,-243893.4154,-182638.7624,-148704.0843,-131188.9924,-259600.9221,-412637.5108,-514831.155,-676032.3528,-818724.6069,-671155.6631,-667284.3025,-650504.8875,-605290.4728,-621703.1122,-525477.6632,-430868.4056,-407468.7218,-343629.1038,-327914.8961,-328631.8874,-320578.8821,-315474.9203,-347665.8981,-328053.2968,-328080.9769,-327970.7948,-329449.1774,-332244.0288,-329159.6549,-329380.9266,-329640.9165,-329974.9408,-330080.0935,-329647.3065,-329744.8368,-329817.6188
14,-200513.5762,-200139.2954,-239467.1556,-266833.6376,-219310.5751,-205951.6581,-207954.335,-151295.0889,-123356.445,-233266.7008,-364084.1932,-553583.0414,-655002.5344,-817084.9302,-848778.9444,-730655.1605,-686752.2722,-664476.6407,-613508.8493,-563413.4021,-449794.54,-402786.6084,-376338.8158,-316628.2681,-333760.6632,-339091.1562,-325346.8472,-314762.3786,-325917.8627,-327775.7816,-326578.8053,-324076.3351,-323822.2327,-325634.2035,-325577.4716,-325137.8096,-324849.6105,-325004.2656,-325240.6722,-325161.9659,-325078.8648
15,-212109.1518,-217275.6522,-222166.8972,-263062.5564,-242543.0197,-190739.4229,-175794.8283,-171947.8063,-123751.7786,-214370.3893,-320740.4182,-477474.766,-687103.401,-757283.1367,-815074.7597,-827678.2612,-693500.8256,-662771.3969,-632202.0115,-534987.6289,-510092.8972,-459096.8255,-397535.1814,-361829.5695,-328715.5087,-316525.4181,-358234.304,-336698.0583,-340400.5717,-336114.7722,-337594.6249,-341808.4662,-338523.2987,-338888.3467,-338585.9017,-339080.1276,-339377.2282,-338890.9806,-338964.517,-338979.751,-339058.5209
