Age,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
15,0.57,0.33,1.09,0.38,0.38,,0.94,0.12,0.12,0.1,,0.04,0.02,0.02,0.51,0.6,0.1,0.15,-,-,0.1,0,0.265,-,0,0,0,0.6
16,2.22,2.27,3.14,2.03,2.03,1.45,1.24,1.36,1.36,0.25,0.03,0.59,0.25,0.25,0.85,0.64,0.68,0.7,0.3,0.21,0.27,0,1.233,1.06,0,0,0,1.0
17,5.87,6.74,6.69,6.19,6.19,5.46,4.82,2.64,2.64,1.84,1.11,2.41,1.07,1.07,2.4,0.59,0.76,2.69,1,1.18,1.19,0,4.605,1.23,0,0,0,5.1
18,13.01,12.33,12.29,13.71,13.71,10.39,7.69,6.95,6.95,5.11,6.2,6.37,3.07,3.07,7.27,4.51,2.16,6.98,3.7,3.75,3.54,0,12.986,5.46,0,0,0,14.5
19,19.52,18.82,18.68,16.42,16.42,15.63,14.65,16.74,16.74,17.43,11.98,14.87,9.83,9.83,20.84,8.82,10.46,21.14,9.3,9.22,9.52,0,36.091,13.99,0,0,0,36.4
20,38.85,30.21,27.57,32.95,32.95,31.09,29.15,41.55,41.55,40.96,39.41,44.94,29.01,29.01,56.42,30.66,24.41,55.95,30.3,33.4,30.97,0,87.073,42.73,0,0,0,90.4
21,58.56,39.84,42.7,53.75,53.75,49.5,56.13,74.48,74.48,84.03,82.12,90.89,48.17,48.17,102.05,79.31,72.32,97.43,77.4,75.39,88.01,0,140.186,91.16,0,0,0,149.4
22,65.58,61.54,57.26,64.1,64.1,77.95,69.97,95.46,95.46,105.04,107.66,115.42,64.95,64.95,138.4,124.64,158.86,125.31,126.5,143.07,135.75,0,169.408,152.44,0,0,0,231.2
23,84.62,76.81,69.37,85.63,85.63,101.09,85.67,115.39,115.39,120.22,118.26,125.68,84.17,84.17,153.35,153.78,147.94,142.72,170.2,162.01,169.89,0,182.372,180.13,0,0,0,217.9
24,104.16,91.16,75.67,98.26,98.26,95.98,87.61,113.31,113.31,131.83,135.82,130.65,96.45,96.45,157.39,169.19,115.37,145.69,175.7,183.07,185.6,0,175.334,205.13,0,0,0,247.5
25,109.5,92.8,77.51,96.02,96.02,102.49,81.94,115.13,115.13,113.81,119.66,122.92,96.52,96.52,145.19,137.33,144.64,129,172.4,177.3,190.38,0,144.894,174.86,0,0,0,211.3
26,110.36,94.23,78.87,95.89,95.89,110.29,85.15,103.15,103.15,108.42,111.67,115.79,92.42,92.42,122.37,129.85,112.89,105.86,140.8,152.59,140.47,0,109.532,169.88,0,0,0,166.4
27,114.47,84.96,76.12,100.57,100.57,94.51,73.8,96.54,96.54,100.87,112.26,99.54,83.1,83.1,104.29,107.26,94.05,84.35,121.2,107.41,119.02,0,84.924,111.76,0,0,0,150.2
28,110.77,86.22,71.77,96.39,96.39,95.68,73.3,86.1,86.1,96.55,94.94,86.15,69.48,69.48,84.42,91.03,73.86,67.35,91.1,97.14,80.11,0,64.408,85.01,0,0,0,156.5
29,102.96,81.94,65.8,78.72,78.72,80,71.75,81.76,81.76,86.92,79.44,73.84,55,55,69.04,76.24,40.06,53.91,78.3,69.23,80.97,0,50.813,71.14,0,0,0,102.1
