Age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,26.9,20.43,19.52,15.75,13.24,12.82,16.53,9.38,13.6414,7.1,3.82,10.44,3.43,2.76,3.33,4.55,3.08
1,2.49,1.55,1.38,1.54,0.69,1.34,1.17,1.5,2.0271,1.39,1.11,0.81,1.07,0.66,1.01,0.54,0.66
2,1.6,2.27,0.72,1.38,0.78,0.91,0.52,0.72,1.1522,0.59,0.63,0.35,0.63,0.75,0.31,0.38,0.51
3,1.17,0.92,1.14,1.07,0.77,0.61,0.74,0.54,1.0659,0.91,0.45,0.36,0.62,0.21,0.89,0.32,0.36
4,0.87,1.08,0.72,0.58,0.74,0.5,0.63,0.78,0.7079,0.41,0.37,0.23,0.5,0.21,0.78,0.21,0.06
5,0.71,0.92,0.54,0.38,0.4,0.54,0.32,0.73,0.4236,0.15,0.33,0.31,0.1,0.21,0.23,0.26,0.33
6,0.59,0.42,0.56,0.75,0.22,0.44,0.37,0.52,0.3144,0.47,0.32,0.15,0.2,0.21,0.16,0.16,0.36
7,0.54,0.67,0.41,0.69,0.4,0.34,0.66,0.05,0.2227,0.31,0.28,0.47,0.17,0.12,0.32,0.24,0.17
8,0.51,0.63,0.62,0.3,0.35,0.35,0.34,0.39,0.2145,0.13,0.28,0.64,0.27,0.07,0.17,0.18,0.18
9,0.45,0.1,0.21,0.64,0.34,0.44,0.52,0.58,0.3659,0.52,0.28,0.58,0.26,0.32,0.33,0.17,0.17
10,0.45,0.55,0.28,0.44,0.73,0.4,0.49,0.32,0.3257,0.5,0.3,0.1,0,0.2,0.45,0.22,0.29
11,0.41,0.23,0.57,0.33,0.42,0.41,0.15,0.06,0.5311,0.36,0.29,0.37,0.2,0.1,0.18,0.19,0.07
12,0.4,0.28,0.3,0.36,0.33,0.42,0.12,0.2,0.3688,0.11,0.3,0.13,0.31,0.64,0.35,0.2,0.13
13,0.41,0.39,0.56,0.72,0.48,0.32,0.35,0.23,0.5149,0.21,0.29,0.4,0.08,0.37,0.08,0.22,0.08
14,0.44,0.71,0.38,0.28,0.59,0.39,0.5,0.41,0.4059,0.3,0.3,0.35,0.15,0.24,0.34,0.19,0.18
15,0.5,0.29,0.41,0.81,0.71,0.47,0.28,0.24,0.1697,0.26,0.34,0.32,0.06,0.57,0.48,0.29,0.06
16,0.53,0.5,0.73,0.4,0.57,0.59,0.57,0.39,0.448,0.21,0.35,0.45,0.25,0.33,0.38,0.35,0.23
17,0.6,0.57,0.87,0.88,0.46,0.62,0.47,0.22,0.8034,0.19,0.39,0.23,0.33,0.42,0.23,0.31,0.07
18,0.72,0.77,0.65,0.96,0.59,0.84,0.77,0.43,0.4285,0.44,0.41,0.39,0.5,0.33,0.44,0.25,0.23
19,0.79,0.77,0.31,0.73,0.87,0.9,0.96,0.52,0.6398,0.44,0.43,0.48,0.41,0.64,0.41,0.41,0.42
20,0.92,1.26,0.45,0.95,0.55,0.86,0.79,0.39,0.8646,0.39,0.47,0.3,0.51,0.24,0.38,0.23,0.4
21,0.91,0.96,1.48,1.07,0.63,0.86,1.24,1.19,0.8914,0.88,0.47,0.52,0.49,0.3,0.47,0.3,0.67
22,0.98,1.11,0.7,0.79,0.64,1,0.6,1.19,0.5505,0.77,0.5,0.59,0.32,0.79,0.23,0.3,0.52
23,0.99,1.1,1.69,1.38,0.63,0.77,0.61,1.02,0.804,0.41,0.54,0.36,0.33,0.36,0.29,0.33,0.66
24,1.05,0.55,0.73,1.04,0.94,0.88,1.12,0.86,0.5942,0.25,0.56,0.23,0.53,0.38,0.52,0.41,0.49
25,1.08,1.1,0.92,0.91,0.89,0.94,0.74,0.45,0.9768,0.8,0.58,0.36,0.3,0.52,0.34,0.41,0.06
26,1.05,1.63,0.28,1.2,0.84,0.84,1.14,0.92,0.5208,0.97,0.57,0.59,0.9,0.35,0.28,0.36,0.43
27,1.11,0.86,0.83,1.1,0.93,0.96,0.8,1.23,1.0684,0.35,0.59,0.4,0.35,0.61,0.54,0.43,0.25
28,1.11,1.25,0.91,0.73,1.23,1,0.86,0.73,1.0235,0.47,0.61,0.4,0.76,0.6,0.33,0.41,0.27
29,1.17,1.16,1.7,0.92,1.35,1.22,0.81,1.22,0.5736,1.44,0.68,0.63,1.05,0.78,0.31,0.39,0.33
30,1.27,1.5,1.3,1.02,1.53,1.05,1.1,1,1.5967,0.67,0.7,0.76,0.78,0.45,0.57,0.43,0.38
31,1.26,1.23,1.85,0.89,1.21,1.16,1.42,1.15,1.0084,1.38,0.77,0.77,0.43,0.93,0.52,0.48,0.28
32,1.35,1.3,1.4,1.33,0.81,1.31,1.12,1.08,1.3993,1.1,0.81,1.26,0.68,0.46,0.62,0.67,0.51
33,1.33,1.36,1.26,1.21,1.42,1.27,1.49,1.31,1.4935,0.87,0.83,0.59,1.18,0.62,0.6,0.57,0.65
34,1.44,1.77,1.01,1.19,1.22,1.4,0.94,1,1.046,1.04,0.94,0.87,1.48,1.58,0.6,0.62,0.66
35,1.58,1.63,2.26,1.38,1.01,1.42,1.4,1.16,1.7033,1.11,1.03,0.82,1.86,0.95,0.88,0.61,0.92
36,1.56,1.82,1.92,2,1.04,1.54,1.15,0.87,1.2695,1.02,1.06,1.19,0.61,0.99,0.98,0.76,0.58
