Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration,net_migration(90+)
0,19145,10376,8769,1.703078173,0.923015885,0.7800622876,118.3259209,19725562.32,10690646.89,9034915.433,-213036.073,-213036.073
1,21199,11347,9852,1.885795465,1.00939295,0.8764025153,115.1745838,21841848.82,11691091.96,10150756.85,-235891.9672,-235891.9672
2,23816,12486,11330,2.118595443,1.110714759,1.007880684,110.2030009,24538208,12864631.55,11673576.45,-265012.6464,-265012.6464
3,23490,12250,11240,2.089595522,1.089720951,0.9998745709,108.9857651,24202322.22,12621474.98,11580847.24,-261385.0799,-261385.0799
4,25303,13293,12010,2.250874223,1.182502907,1.068371316,110.6827644,26070300.51,13696103.42,12374197.1,-281559.2456,-281559.2456
5,23179,11972,11207,2.061929954,1.064990958,0.9969389961,106.8260908,23881891.3,12335044.77,11546846.53,-257924.4261,-257924.4261
6,20383,10649,9734,1.813206706,0.9473010948,0.8659056115,109.4000411,21001104.03,10971925.47,10029178.56,-226811.9236,-226811.9236
7,19801,10289,9512,1.761433841,0.9152766423,0.8461571991,108.1686291,20401455.18,10601008.65,9800446.528,-220335.716,-220335.716
8,19491,10210,9281,1.73385723,0.9082490542,0.8256081755,110.0096972,20082054.59,10519613.02,9562441.571,-216886.1896,-216886.1896
9,21384,11094,10290,1.902252475,0.9868868763,0.9153655992,107.8134111,22032458.85,11430419.87,10602038.98,-237950.5555,-237950.5555
10,20124,10527,9597,1.790166892,0.9364483637,0.8537185282,109.6905283,20734249.99,10846225.88,9888024.109,-223929.8999,-223929.8999
11,17491,9015,8476,1.555943605,0.8019456634,0.7539979415,106.3591317,18021405.62,9288375.257,8733030.358,-194631.1806,-194631.1806
12,19757,10257,9500,1.757519742,0.9124300243,0.8450897174,107.9684211,20356120.9,10568038.27,9788082.634,-219846.1058,-219846.1058
13,18990,9730,9260,1.689289867,0.8655497842,0.8237400824,105.075594,19565862.02,10025057.27,9540804.757,-211311.3098,-211311.3098
14,17986,9144,8842,1.599977227,0.8134210922,0.7865561349,103.4155169,18531416.24,9421287.116,9110129.121,-200139.2954,-200139.2954
15,19526,9999,9527,1.736970718,0.8894791668,0.8474915513,104.9543403,20118115.95,10302214.55,9815901.395,-217275.6522,-217275.6522
16,20380,10424,9956,1.812939836,0.927285812,0.8856540238,104.700683,20998013.06,10740102.46,10257910.6,-226778.5411,-226778.5411
17,21387,10893,10494,1.902519346,0.969006557,0.9335127889,103.8021727,22035549.82,11223324.65,10812225.17,-237983.9381,-237983.9381
18,22162,11251,10911,1.971460875,1.000853096,0.9706077796,103.1161213,22834051.3,11592180.81,11241870.49,-246607.754,-246607.754
19,22369,11327,11042,1.989874936,1.007613814,0.982261122,102.5810542,23047328.47,11670485.47,11376842.99,-248911.1474,-248911.1474
