Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,16008,8632,7376,1.3,0.69,0.61,117.03,16210298.82,8741085.672,7469213.151,-98882.82282
1,12888,7061,5826,1.03,0.55,0.48,121.19,13050870.27,7150232.383,5899625.246,-79610.30863
2,14360,7709,6651,1.17,0.63,0.54,115.89,14541472.46,7806421.391,6735051.067,-88702.98199
3,15629,8546,7083,1.28,0.69,0.59,120.66,15826509.26,8653998.86,7172510.405,-96541.70651
4,16174,8840,7334,1.34,0.72,0.62,120.54,16378396.62,8951714.243,7426682.382,-99908.21941
5,17948,9723,8225,1.46,0.78,0.68,118.21,18174815.3,9845873.03,8328942.268,-110866.3733
6,19228,10189,9040,1.54,0.81,0.72,112.71,19470991.12,10317762.04,9154241.714,-118773.0458
7,20845,11055,9790,1.67,0.88,0.79,112.93,21108425.72,11194705.99,9913719.733,-128761.3969
8,26498,13966,12532,2.07,1.08,0.98,111.45,26832864.71,14142493.34,12690371.37,-163680.4747
9,25916,13489,12427,2.03,1.05,0.98,108.55,26243509.76,13659465.32,12584044.45,-160085.4096
10,25127,13073,12054,1.98,1.03,0.96,108.45,25444538.89,13238208.18,12206330.71,-155211.6872
11,26509,13514,12995,2.05,1.05,1,103.99,26844003.72,13684781.25,13159222.46,-163748.4227
12,23891,12472,11418,1.9,0.98,0.91,109.23,24192919.11,12629613.13,11562293.35,-147576.8066
13,21238,11011,10227,1.72,0.89,0.83,107.67,21506392.2,11150149.95,10356242.26,-131188.9924
14,19970,10392,9578,1.64,0.85,0.79,108.5,20222368.03,10523327.42,9699040.613,-123356.445
15,20034,10450,9584,1.65,0.86,0.8,109.03,20287176.83,10582060.39,9705116.437,-123751.7786
16,22010,11584,10426,1.8,0.94,0.86,111.11,22288148.24,11730391.15,10557757.09,-135957.7043
17,17450,9141,8309,1.45,0.76,0.69,110.01,17670521.89,9256518.087,8414003.806,-107790.1835
18,16059,8401,7658,1.38,0.72,0.66,109.7,16261943.33,8507166.443,7754776.886,-99197.8543
19,16460,8471,7989,1.36,0.7,0.66,106.04,16668010.91,8578051.058,8089959.851,-101674.8665
20,15681,7983,7697,1.35,0.69,0.66,103.72,15879166.41,8083884.027,7794269.743,-96862.91508
21,15543,7705,7838,1.3,0.65,0.65,98.31,15739422.45,7802370.842,7937051.61,-96010.47696
22,18278,8915,9363,1.51,0.75,0.76,95.22,18508985.63,9027662.045,9481323.581,-112904.8123
23,19298,9503,9795,1.57,0.78,0.79,97.02,19541875.73,9623092.811,9918782.919,-119205.442
24,21723,10617,11105,1.76,0.86,0.9,95.6,21997521.32,10751170.83,11245337.86,-134184.8801
25,23069,11344,11725,1.87,0.92,0.95,96.75,23360531.21,11487358.19,11873173.02,-142499.2404
26,23836,11894,11942,1.9,0.95,0.95,99.6,24137224.06,12044308.73,12092915.33,-147237.0668
27,24593,12263,12330,1.95,0.97,0.97,99.45,24903790.54,12417971.92,12485818.62,-151913.1223
28,26590,13156,13434,2.11,1.05,1.06,97.93,26926027.34,13322257.08,13603770.26,-164248.7668
29,25092,12517,12575,1.97,0.99,0.98,99.54,25409096.58,12675181.81,12733914.77,-154995.4891
30,26901,13509,13392,2.13,1.07,1.06,100.87,27240957.56,13679718.07,13561239.5,-166169.8411
31,21809,10910,10899,1.7,0.85,0.84,100.1,22084608.14,11047873.57,11036734.56,-134716.1096
32,25337,12777,12560,1.96,0.99,0.97,101.73,25657192.73,12938467.52,12718725.21,-156508.8757
33,24237,12246,11990,1.92,0.97,0.94,102.13,24543291.64,12400757.08,12141521.92,-149714.079
34,24539,12271,12268,1.98,0.99,0.98,100.03,24849108.12,12426073.02,12423035.11,-151579.5595
35,28193,14391,13802,2.29,1.17,1.12,104.26,28549285.03,14572864.22,13976420.81,-174150.6387
36,19601,9977,9623,1.6,0.82,0.79,103.68,19848704.85,10103082.92,9744609.294,-121077.0996
37,11901,5925,5977,1.04,0.52,0.52,99.13,12051397.19,5999876.345,6052533.487,-73513.52289
38,15600,7979,7621,1.36,0.7,0.66,104.7,15797142.78,8079833.478,7717309.304,-96362.57097
39,13759,6978,6782,1.17,0.59,0.57,102.89,13932877.41,7066183.483,6867706.56,-84990.55217
40,18721,9578,9143,1.56,0.8,0.76,104.76,18957583.97,9699040.613,9258543.362,-115641.2622
41,20023,10398,9625,1.61,0.83,0.78,108.03,20276037.81,10529403.25,9746634.569,-123683.8307
42,18338,9303,9035,1.5,0.76,0.74,102.97,18569743.87,9420565.339,9149178.528,-113275.4376
43,19330,9862,9468,1.56,0.8,0.76,104.17,19574280.13,9986629.622,9587650.503,-119403.1088
44,19519,9808,9710,1.57,0.78,0.78,101.01,19765668.59,9931947.205,9832708.744,-120570.5784
45,17945,8940,9004,1.43,0.72,0.71,99.29,18171777.39,9052977.979,9117786.769,-110847.8421
46,17914,9133,8781,1.41,0.72,0.69,104.02,18140385.63,9248416.989,8891968.639,-110656.3523
47,15346,7702,7644,1.21,0.61,0.61,100.76,15539932.89,7799332.93,7740599.963,-94793.59064
48,15412,7793,7619,1.24,0.63,0.62,102.28,15606766.96,7891482.929,7715284.029,-95201.27844
49,14268,7623,6645,1.1,0.59,0.51,114.72,14448309.82,7719334.578,6728975.242,-88134.68991
50,14362,7036,7326,1.13,0.56,0.58,96.04,14543497.73,7124916.449,7418581.283,-88715.33617
51,12728,6450,6278,1,0.5,0.5,102.75,12888848.29,6531510.958,6357337.332,-78621.97457
52,11954,6082,5872,0.95,0.48,0.47,103.57,12105066.97,6158860.41,5946206.565,-73840.90855
53,10816,5569,5247,0.85,0.43,0.42,106.14,10952685.66,5639377.445,5313308.216,-66811.38254
54,10437,5340,5097,0.82,0.42,0.4,104.77,10568896.1,5407483.491,5161412.613,-64470.26623
55,10069,5153,4916,0.81,0.41,0.4,104.83,10196245.56,5218120.305,4978125.251,-62197.09789
56,9765,4964,4801,0.78,0.39,0.39,103.38,9888403.799,5026731.844,4861671.955,-60319.26317
57,9880,4994,4886,0.78,0.39,0.39,102.21,10004857.09,5057110.965,4947746.13,-61029.62828
58,9751,5032,4719,0.79,0.4,0.39,106.63,9874226.876,5095591.184,4778635.691,-60232.78394
59,8547,4392,4155,0.7,0.36,0.34,105.71,8655011.497,4447503.275,4207508.222,-52795.57013
60,10261,5223,5038,0.84,0.43,0.42,103.67,10390671.93,5289004.92,5101667.008,-63383.09876
61,9257,4715,4542,0.75,0.38,0.37,103.82,9373984.021,4774585.142,4599398.879,-57181.30253
62,9182,4663,4519,0.75,0.38,0.37,103.18,9298036.219,4721927.999,4576108.22,-56718.02094
63,8786,4384,4402,0.72,0.36,0.36,99.59,8897031.825,4439402.176,4457629.649,-54271.89414
64,8545,4326,4219,0.7,0.35,0.34,102.53,8652986.222,4380669.21,4272317.012,-52783.21596
65,8888,4521,4366,0.71,0.36,0.35,103.54,9000320.836,4578133.495,4421174.704,-54901.9571
66,7618,3750,3868,0.61,0.3,0.31,96.95,7714271.392,3797390.092,3916881.3,-47057.05549
67,7080,3514,3567,0.57,0.29,0.28,98.52,7169472.493,3558407.675,3612077.455,-43733.78221
68,7204,3548,3657,0.57,0.28,0.29,97.02,7295039.525,3592837.345,3703214.817,-44499.74111
69,6243,3063,3181,0.48,0.24,0.24,96.29,6321895.025,3101708.227,3221199.435,-38563.55965
70,6856,3492,3364,0.54,0.27,0.27,103.82,6942641.725,3536129.653,3406512.072,-42350.11452
71,5369,2659,2710,0.42,0.21,0.21,98.12,5436849.974,2692602.734,2744247.24,-33164.78484
72,5103,2435,2668,0.4,0.19,0.21,91.27,5167488.437,2465771.966,2701716.471,-31521.67946
73,5097,2415,2682,0.39,0.19,0.2,90.07,5161412.613,2445519.219,2715893.394,-31484.61694
74,4621,2149,2472,0.35,0.17,0.18,86.95,4679397.23,2176157.682,2503239.548,-28544.3231
75,4062,1963,2099,0.32,0.16,0.16,93.52,4113332.947,1987807.133,2125525.814,-25091.33098
76,3629,1647,1982,0.28,0.13,0.15,83.09,3674860.971,1667813.728,2007047.243,-22416.65193
77,3330,1487,1843,0.25,0.12,0.14,80.71,3372082.401,1505791.751,1866290.65,-20569.70265
78,2920,1323,1597,0.22,0.1,0.12,82.88,2956901.085,1339719.224,1617181.86,-18037.09662
79,2237,954,1284,0.17,0.07,0.09,74.29,2265269.769,966056.0393,1300226.367,-13818.14559
80,2288,919,1369,0.17,0.07,0.1,67.17,2316914.275,930613.7318,1386300.543,-14133.17708
81,1853,745,1108,0.14,0.06,0.08,67.25,1876417.024,754414.8315,1122002.192,-11446.14385
82,1573,593,980,0.12,0.05,0.07,60.49,1592878.564,600493.9532,992384.6106,-9716.559239
83,1302,515,788,0.1,0.04,0.06,65.36,1318453.84,521508.2393,797958.2379,-8042.568423
84,1234,441,792,0.09,0.03,0.06,55.73,1249594.499,446573.0748,802008.7874,-7622.526447
85,922,354,568,0.07,0.03,0.04,62.23,933651.6439,358473.6247,575178.0192,-5695.275028
86,691,247,444,0.05,0.02,0.03,55.61,699732.4142,250121.4274,449610.9869,-4268.367727
87,568,170,398,0.04,0.01,0.03,42.58,575178.0192,172148.3508,403029.6684,-3508.585917
88,432,141,291,0.03,0.01,0.02,48.36,437459.3386,142781.8674,294677.4711,-2668.501965
89,352,104,248,0.03,0.01,0.02,42.06,356448.3499,105314.2852,251134.0647,-2174.334935
90+,929,227,699,0.07,0.01,0.07,32.47496423,940740.1054,229868.6802,707833.5131,-5738.514643
