Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,12520,6967,5553,1.05,0.59,0.47,125.48,13986931.03,7783302.592,6203628.433,-444784.4066
1,11212,6216,4996,0.94,0.52,0.42,124.4,12525676.57,6944310.164,5581366.406,-398316.5149
2,12097,6763,5334,1.02,0.57,0.45,126.79,13514369.38,7555400.521,5958968.857,-429756.9462
3,12398,6790,5608,1.04,0.57,0.47,121.07,13850636.65,7585564.03,6265072.619,-440450.2455
4,11770,6428,5342,0.99,0.54,0.45,120.32,13149055.76,7181149.571,5967906.193,-418139.9733
5,12706,6913,5793,1.07,0.58,0.49,119.32,14194724.09,7722975.573,6471748.517,-451392.2261
6,13335,7201,6134,1.12,0.61,0.52,117.39,14897422.14,8044719.674,6852702.469,-473738.0241
7,13882,7674,6207,1.17,0.65,0.52,123.63,15508512.5,8573139.672,6934255.661,-493170.6975
8,13487,7336,6150,1.13,0.62,0.52,119.28,15067231.53,8195537.221,6870577.141,-479137.9626
9,14793,8151,6642,1.24,0.69,0.56,122.73,16526251.65,9106028.338,7420223.312,-525534.8025
10,15294,8337,6957,1.29,0.7,0.59,119.84,17085952.32,9313821.402,7772130.922,-543333.2839
11,16066,8658,7408,1.35,0.73,0.62,116.87,17948405.26,9672432.014,8275973.246,-570759.2873
12,17176,9267,7909,1.44,0.78,0.67,117.16,19188460.65,10352786.73,8835673.92,-610193.0485
13,17038,9164,7874,1.43,0.77,0.66,116.38,19034291.6,10237718.52,8796573.074,-605290.4728
14,18704,9916,8787,1.57,0.83,0.74,112.85,20895491.84,11077828.12,9816546.559,-664476.6407
15,18656,10142,8513,1.57,0.85,0.72,119.14,20841867.83,11330307.86,9510442.797,-662771.3969
16,18758,9997,8761,1.58,0.84,0.74,114.11,20955818.86,11168318.65,9787500.217,-666395.0399
17,22826,12248,10578,1.92,1.03,0.89,115.79,25500454.28,13683061.6,11817392.68,-810914.4461
18,20616,10732,9883,1.73,0.9,0.83,108.59,23031515.18,11989436.4,11040961.61,-732402.1826
19,18061,9316,8745,1.52,0.78,0.74,106.52,20177153.45,10407527.91,9769625.544,-641633.4798
