Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migation
0,14083,7481,6602,1.23,0.65,0.58,113.33,17091019.42,9078883.495,8012135.922,-411893.568
1,12156,6475,5681,1.06,0.57,0.5,113.97,14752427.18,7858009.709,6894417.476,-355533.4951
2,12814,6804,6009,1.12,0.59,0.52,113.23,15550970.87,8257281.553,7292475.728,-374778.3981
3,14709,7942,6767,1.28,0.69,0.59,117.37,17850728.16,9638349.515,8212378.641,-430202.5485
4,14551,7765,6786,1.27,0.68,0.59,114.42,17658980.58,9423543.689,8235436.893,-425581.432
5,13175,7063,6111,1.15,0.62,0.53,115.58,15989077.67,8571601.942,7416262.136,-385336.7718
6,12404,6794,5610,1.08,0.59,0.49,121.1,15053398.06,8245145.631,6808252.427,-362786.8932
7,12422,6691,5731,1.08,0.58,0.5,116.75,15075242.72,8120145.631,6955097.087,-363313.3495
8,12770,6990,5780,1.12,0.61,0.5,120.94,15497572.82,8483009.709,7014563.107,-373491.5049
9,12543,6806,5737,1.1,0.59,0.5,118.63,15222087.38,8259708.738,6962378.641,-366852.3058
10,13179,7071,6108,1.15,0.62,0.53,115.75,15993932.04,8581310.68,7412621.359,-385453.7621
11,12757,6967,5790,1.11,0.61,0.51,120.33,15481796.12,8455097.087,7026699.029,-373111.2864
12,12141,6608,5533,1.06,0.58,0.48,119.42,14734223.3,8019417.476,6714805.825,-355094.7816
13,11887,6452,5434,1.04,0.56,0.47,118.74,14425970.87,7830097.087,6594660.194,-347665.8981
14,10762,5830,4932,0.94,0.51,0.43,118.21,13060679.61,7075242.718,5985436.893,-314762.3786
15,11512,6413,5100,1.01,0.56,0.45,125.74,13970873.79,7782766.99,6189320.388,-336698.0583
16,12431,6864,5567,1.09,0.6,0.49,123.31,15086165.05,8330097.087,6756067.961,-363576.5777
17,12079,6407,5671,1.05,0.56,0.5,112.97,14658980.58,7775485.437,6882281.553,-353281.432
18,11315,5961,5354,0.99,0.52,0.47,111.33,13731796.12,7234223.301,6497572.816,-330936.2864
19,11914,6389,5525,1.04,0.56,0.48,115.63,14458737.86,7753640.777,6705097.087,-348455.5825
20,14317,7514,6803,1.25,0.66,0.59,110.45,17375000,9118932.039,8256067.961,-418737.5
21,13998,7352,6645,1.22,0.64,0.58,110.64,16987864.08,8922330.097,8064320.388,-409407.5243
22,14854,7834,7020,1.3,0.68,0.61,111.59,18026699.03,9507281.553,8519417.476,-434443.4466
23,14295,7498,6797,1.25,0.65,0.59,110.31,17348300.97,9099514.563,8248786.408,-418094.0534
24,15722,8298,7424,1.37,0.72,0.65,111.78,19080097.09,10070388.35,9009708.738,-459830.3398
25,16372,8425,7947,1.43,0.74,0.69,106.02,19868932.04,10224514.56,9644417.476,-478841.2621
26,17611,9055,8557,1.54,0.79,0.75,105.82,21372572.82,10989077.67,10384708.74,-515079.0049
27,22693,11528,11165,1.98,1.01,0.97,103.25,27540048.54,13990291.26,13549757.28,-663715.1699
28,22321,11411,10911,1.95,1,0.95,104.58,27088592.23,13848300.97,13241504.85,-652835.0728
29,21703,11032,10671,1.9,0.96,0.93,103.39,26338592.23,13388349.51,12950242.72,-634760.0728
