Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female
0,12493,6652,5841,1.09,0.58,0.51,113.89,15235365.85,8112195.122,7123170.732
1,14093,7439,6654,1.23,0.65,0.58,111.81,17186585.37,9071951.22,8114634.146
2,14272,7603,6669,1.25,0.66,0.58,114,17404878.05,9271951.22,8132926.829
3,13140,7020,6119,1.15,0.61,0.53,114.72,16024390.24,8560975.61,7462195.122
4,13395,7172,6223,1.17,0.63,0.54,115.26,16335365.85,8746341.463,7589024.39
5,13060,7043,6016,1.14,0.62,0.53,117.07,15926829.27,8589024.39,7336585.366
6,13088,7060,6028,1.14,0.62,0.53,117.11,15960975.61,8609756.098,7351219.512
7,12913,6966,5948,1.13,0.61,0.52,117.12,15747560.98,8495121.951,7253658.537
8,11382,6159,5223,0.99,0.54,0.46,117.93,13880487.8,7510975.61,6369512.195
9,12879,7051,5828,1.13,0.62,0.51,120.99,15706097.56,8598780.488,7107317.073
10,12852,6999,5853,1.12,0.61,0.51,119.58,15673170.73,8535365.854,7137804.878
11,12552,6806,5746,1.1,0.59,0.5,118.45,15307317.07,8300000,7007317.073
12,12530,6786,5744,1.09,0.59,0.5,118.15,15280487.8,8275609.756,7004878.049
13,12128,6573,5554,1.06,0.57,0.49,118.34,14790243.9,8015853.659,6773170.732
14,12186,6610,5576,1.06,0.58,0.49,118.56,14860975.61,8060975.61,6800000
15,10967,5952,5015,0.96,0.52,0.44,118.69,13374390.24,7258536.585,6115853.659
16,11818,6415,5403,1.03,0.56,0.47,118.73,14412195.12,7823170.732,6589024.39
17,11719,6349,5370,1.02,0.55,0.47,118.23,14291463.41,7742682.927,6548780.488
18,12049,6522,5527,1.05,0.57,0.48,118.01,14693902.44,7953658.537,6740243.902
19,11705,6314,5392,1.02,0.55,0.47,117.1,14274390.24,7700000,6575609.756
20,12661,6809,5852,1.11,0.59,0.51,116.35,15440243.9,8303658.537,7136585.366
21,12515,6702,5813,1.09,0.59,0.51,115.28,15262195.12,8173170.732,7089024.39
22,13062,6948,6114,1.14,0.61,0.53,113.64,15929268.29,8473170.732,7456097.561
23,14804,7813,6990,1.29,0.68,0.61,111.77,18053658.54,9528048.78,8524390.244
24,15008,7813,7195,1.31,0.68,0.63,108.59,18302439.02,9528048.78,8774390.244
25,15727,8135,7592,1.37,0.71,0.66,107.15,19179268.29,9920731.707,9258536.585
26,16251,8424,7828,1.42,0.74,0.68,107.61,19818292.68,10273170.73,9546341.463
27,17478,9041,8437,1.53,0.79,0.74,107.16,21314634.15,11025609.76,10289024.39
28,21580,11008,10572,1.89,0.96,0.92,104.12,26317073.17,13424390.24,12892682.93
29,21941,11102,10839,1.92,0.97,0.95,102.43,26757317.07,13539024.39,13218292.68
30,20212,10199,10013,1.77,0.89,0.87,101.87,24648780.49,12437804.88,12210975.61
31,21203,10676,10526,1.85,0.93,0.92,101.42,25857317.07,13019512.2,12836585.37
32,19170,9593,9577,1.67,0.84,0.84,100.16,23378048.78,11698780.49,11679268.29
33,16405,8228,8177,1.43,0.72,0.71,100.62,20006097.56,10034146.34,9971951.22
34,16212,8147,8064,1.42,0.71,0.7,101.03,19770731.71,9935365.854,9834146.341
35,16007,8069,7938,1.4,0.7,0.69,101.64,19520731.71,9840243.902,9680487.805
36,18328,9268,9060,1.6,0.81,0.79,102.29,22351219.51,11302439.02,11048780.49
37,16262,8249,8013,1.42,0.72,0.7,102.96,19831707.32,10059756.1,9771951.22
38,15025,7629,7396,1.31,0.67,0.65,103.15,18323170.73,9303658.537,9019512.195
39,16265,8302,7963,1.42,0.73,0.7,104.26,19835365.85,10124390.24,9710975.61
40,15924,8095,7829,1.39,0.71,0.68,103.4,19419512.2,9871951.22,9547560.976
41,14847,7574,7273,1.3,0.66,0.64,104.14,18106097.56,9236585.366,8869512.195
42,16881,8610,8270,1.47,0.75,0.72,104.11,20586585.37,10500000,10085365.85
43,17269,8791,8478,1.51,0.77,0.74,103.69,21059756.1,10720731.71,10339024.39
44,18653,9486,9167,1.63,0.83,0.8,103.48,22747560.98,11568292.68,11179268.29
45,19507,9949,9558,1.7,0.87,0.84,104.08,23789024.39,12132926.83,11656097.56
46,20083,10238,9845,1.75,0.89,0.86,104,24491463.41,12485365.85,12006097.56
47,20443,10438,10005,1.79,0.91,0.87,104.33,24930487.8,12729268.29,12201219.51
48,22178,11263,10915,1.94,0.98,0.95,103.18,27046341.46,13735365.85,13310975.61
49,20172,10220,9952,1.76,0.89,0.87,102.69,24600000,12463414.63,12136585.37
50,22059,11168,10891,1.93,0.98,0.95,102.55,26901219.51,13619512.2,13281707.32
51,17612,8883,8728,1.54,0.78,0.76,101.78,21478048.78,10832926.83,10643902.44
52,19300,9765,9534,1.69,0.85,0.83,102.42,23536585.37,11908536.59,11626829.27
53,19211,9732,9478,1.68,0.85,0.83,102.68,23428048.78,11868292.68,11558536.59
54,18669,9390,9279,1.63,0.82,0.81,101.19,22767073.17,11451219.51,11315853.66
55,21493,10879,10614,1.88,0.95,0.93,102.5,26210975.61,13267073.17,12943902.44
56,17719,8918,8801,1.55,0.78,0.77,101.33,21608536.59,10875609.76,10732926.83
57,9333,4620,4713,0.82,0.4,0.41,98.02,11381707.32,5634146.341,5747560.976
58,11168,5635,5532,0.98,0.49,0.48,101.85,13619512.2,6871951.22,6746341.463
59,10131,5156,4975,0.89,0.45,0.43,103.63,12354878.05,6287804.878,6067073.171
60,13058,6633,6425,1.14,0.58,0.56,103.24,15924390.24,8089024.39,7835365.854
61,14377,7262,7115,1.26,0.63,0.62,102.06,17532926.83,8856097.561,8676829.268
62,13295,6619,6676,1.16,0.58,0.58,99.15,16213414.63,8071951.22,8141463.415
63,13639,6815,6824,1.19,0.6,0.6,99.86,16632926.83,8310975.61,8321951.22
64,13645,6763,6883,1.19,0.59,0.6,98.26,16640243.9,8247560.976,8393902.439
65,12615,6201,6414,1.1,0.54,0.56,96.69,15384146.34,7562195.122,7821951.22
66,12252,6026,6227,1.07,0.53,0.54,96.78,14941463.41,7348780.488,7593902.439
67,10273,5016,5258,0.9,0.44,0.46,95.39,12528048.78,6117073.171,6412195.122
68,10105,4981,5124,0.88,0.44,0.45,97.21,12323170.73,6074390.244,6248780.488
69,9553,4751,4803,0.83,0.42,0.42,98.92,11650000,5793902.439,5857317.073
70,8154,3993,4161,0.71,0.35,0.36,95.96,9943902.439,4869512.195,5074390.244
71,7690,3767,3923,0.67,0.33,0.34,96.02,9378048.78,4593902.439,4784146.341
72,6962,3362,3600,0.61,0.29,0.31,93.39,8490243.902,4100000,4390243.902
73,6217,2985,3232,0.54,0.26,0.28,92.37,7581707.317,3640243.902,3941463.415
74,5788,2798,2989,0.51,0.24,0.26,93.61,7058536.585,3412195.122,3645121.951
75,5194,2458,2737,0.45,0.21,0.24,89.8,6334146.341,2997560.976,3337804.878
76,4973,2391,2582,0.43,0.21,0.23,92.62,6064634.146,2915853.659,3148780.488
77,4665,2207,2459,0.41,0.19,0.21,89.76,5689024.39,2691463.415,2998780.488
78,4297,2007,2290,0.38,0.18,0.2,87.66,5240243.902,2447560.976,2792682.927
79,3669,1682,1987,0.32,0.15,0.17,84.68,4474390.244,2051219.512,2423170.732
80,3703,1649,2054,0.32,0.14,0.18,80.27,4515853.659,2010975.61,2504878.049
81,3254,1411,1843,0.28,0.12,0.16,76.54,3968292.683,1720731.707,2247560.976
82,3042,1374,1668,0.27,0.12,0.15,82.37,3709756.098,1675609.756,2034146.341
83,2577,1081,1497,0.23,0.09,0.13,72.2,3142682.927,1318292.683,1825609.756
84,2270,943,1327,0.2,0.08,0.12,71.04,2768292.683,1150000,1618292.683
